title,price_raw,price_billion,area_m2,price_per_m2,district,address,property_type,source,url,crawled_at
nhà đẹp 1/.hà huy giáp ngay sát Cầu Ngã Tư Ga sang GV 2 phút,"2,09 tỷ",2.09,50.0,41800000.0,Quận 12,"Hà Huy Giáp, Phường Thạnh Xuân, Quận 12",house,chotot.com,https://nha.chotot.com/132075570.htm,2026-04-27T20:00:03.010685
"🏡 NHÀ ĐẸP 3 LẦU – HẺM 751 TRẦN XUÂN SOẠN, Q7 🏡",6 tỷ,6.0,35.0,171428571.0,Quận 7,"Đường Trần Xuân Soạn, Phường Tân Hưng, Quận 7",house,chotot.com,https://nha.chotot.com/131960949.htm,2026-04-27T20:00:03.010685
"Mặt tiền 10 m Cư xá phú Lâm B ,p13 Q6","11,2 tỷ",11.2,64.0,175000000.0,Quận 6,"Mặt tiền đg số cư xá phú Lâm B , p13 Q6, Phường 13, Quận 6",house,chotot.com,https://nha.chotot.com/131858201.htm,2026-04-27T20:00:03.010685
Căn hộ 2PN giá chỉ 1.6 tỷ – Thanh toán 600tr nhận suất chuyển nhượng,"1,6 tỷ",1.6,64.0,25000000.0,Quận Bình Tân,"Lý Chiêu hoàng, Phường An Lạc, Quận Bình Tân",apartment,chotot.com,https://nha.chotot.com/131643167.htm,2026-04-27T20:00:03.010685
NHÀ LÊ ĐÌNH CẨN KẾ TÊN LỬA - 3 TẦNG 4x15M CHỦ THIỆN CHÍ BÁN,"4,8 tỷ",4.8,53.0,90566038.0,Quận Bình Tân,"Đường Lê Đình Cẩn, Phường Tân Tạo, Quận Bình Tân",house,chotot.com,https://nha.chotot.com/131723070.htm,2026-04-27T20:00:03.010685
"chính chủ cần bán nhà gần chợ, vị trí đẹp, khu dân cư",800 triệu,0.8,19.0,42105263.0,Quận 12,"Đường Trần Thị Cờ, Phường Thới An, Quận 12",house,chotot.com,https://nha.chotot.com/131413121.htm,2026-04-27T20:00:03.010685
BÁN NHÀ ĐƯỜNG SỐ 5- AEONMALL-5MX19M-4 TẦNG-5PN-HẺM Ô TÔ 6M  -SÁT MT,"9,699 tỷ",9.7,92.0,105434783.0,Quận Bình Tân,"Đường Số 5, Phường Bình Hưng Hòa, Quận Bình Tân",house,chotot.com,https://nha.chotot.com/132075511.htm,2026-04-27T20:00:03.010685
Bán Gấp Đất Măt Tiền Đường Số 1 12m Vĩnh Lộc A Bình Chánh,6 tỷ,6.0,123.0,48780488.0,Huyện Bình Chánh,"Đường Đường Số 1, Xã Vĩnh Lộc A, Huyện Bình Chánh",other,chotot.com,https://nha.chotot.com/132075503.htm,2026-04-27T20:00:03.010685
NHÀ BÁN 9 CHỦ LÂM VĂN BỀN,970 triệu,0.97,14.0,69285714.0,Quận 7,"Hẻm 30 Lâm Văn Bền, Phường Tân Kiểng, Quận 7",house,chotot.com,https://nha.chotot.com/131837922.htm,2026-04-27T20:00:03.010685
HÒA BÌNH TÂN PHÚ– GẦN ĐẦM SEN– HẺM XE HƠI- 93M2–3 TẦNG – 5PN –CHỈ 8TỶ9,"8,9 tỷ",8.9,93.0,95698925.0,Quận Tân Phú,"Đường Hòa Bình, Phường Phú Thạnh, Quận Tân Phú",house,chotot.com,https://nha.chotot.com/132075458.htm,2026-04-27T20:00:03.010685
Chợ Gò Vấp 78m2 Cộng Thêm Sân Vườn 22m2,"7,2 tỷ",7.2,78.4,91836735.0,Quận Gò Vấp,"Đường Lý Thường Kiệt, Phường 4, Quận Gò Vấp",house,chotot.com,https://nha.chotot.com/127968152.htm,2026-04-27T20:00:03.010685
Bán nhà mặt tiền hẻm,"1,85 tỷ",1.85,30.0,61666667.0,Thành phố Thủ Đức,"Đường Số 40, Phường Linh Đông (Quận Thủ Đức cũ), Thành phố Thủ Đức",house,chotot.com,https://nha.chotot.com/131149146.htm,2026-04-27T20:00:03.010685
Bán nhà quận 4,"7,5 tỷ",7.5,73.0,102739726.0,Quận 4,"Đường Đoàn Văn Bơ, Phường 18, Quận 4",house,chotot.com,https://nha.chotot.com/132075419.htm,2026-04-27T20:00:03.010685
"Nhà Phố Q8, HXT, Bình Đông, 3 tầng, nở hậu 6.9m, 8.xx tỷ","8,5 tỷ",8.5,120.0,70833333.0,Quận 8,"Đường Bình Đông, Phường 14, Quận 8",house,chotot.com,https://nha.chotot.com/130857585.htm,2026-04-27T20:00:03.010685
"CĂN GÓC ĐẸP NHẤT KDC AN LỘC – GIÁ TỐT HIẾM CÓ, CHỐT NHANH KẺO LỠ!",9 tỷ,9.0,73.0,123287671.0,Quận 12,"Đường Hà Huy Giáp, Phường Thạnh Lộc, Quận 12",house,chotot.com,https://nha.chotot.com/132075416.htm,2026-04-27T20:00:03.010685
BÁN NHÀ KHU KIỀU ĐÀM – Quận 7 - 51M - 2 TẦNG VỊ TRÍ ĐẸP,"4,25 tỷ",4.25,51.2,83007812.0,Quận 7,"Đường Trần Xuân Soạn, Phường Tân Hưng, Quận 7",house,chotot.com,https://nha.chotot.com/132075406.htm,2026-04-27T20:00:03.010685
60M² DT4.4*14.2 Kế DG Tên Lửa GIÁ 4.050 TỶ chốt,"4,05 tỷ",4.05,60.0,67500000.0,Quận Bình Tân,"Đường Mã Lò, Phường Bình Trị Đông A, Quận Bình Tân",house,chotot.com,https://nha.chotot.com/131123138.htm,2026-04-27T20:00:03.010685
Có 6 căn Nguyễn Quý Yêm Nhiều Giá Nhiều Vị Trí từ 4ty250,"4,25 tỷ",4.25,42.0,101190476.0,Quận Bình Tân,"Đường Nguyễn Quý Yêm, Phường An Lạc A, Quận Bình Tân",house,chotot.com,https://nha.chotot.com/131545380.htm,2026-04-27T20:00:03.010685
🌻🌻Bán nhà hẻm 1806 cách xe hơi vài bước chân. Huỳnh Tấn Phát. Nhà Bè,"1,95 tỷ",1.95,25.2,77380952.0,Huyện Nhà Bè,"Đường Huỳnh Tấn Phát, Thị trấn Nhà Bè, Huyện Nhà Bè",house,chotot.com,https://nha.chotot.com/131487390.htm,2026-04-27T20:00:03.010685
